emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,individual_id
anxious,4,113.22921783518463,16.621659823836815,0.925,0.204,23.519,37.03,-0.093,-0.35,9.65,0.629,95.0,2025-07-16T19:04:08.515945,3
fatigued,5,62.447588865836565,23.50006733120573,0.175,0.232,10.878,36.44,0.227,-0.203,9.783,0.716,97.5,2025-07-16T19:04:08.603159,26
anxious,4,99.70383045231068,18.670053505349436,0.881,0.238,18.631,36.63,-0.425,-0.183,9.833,0.448,95.2,2025-07-16T19:04:08.550160,8
fatigued,5,56.42584167991463,26.733915273813146,0.257,0.174,11.226,36.4,-0.037,0.265,9.852,0.772,97.1,2025-07-16T19:04:08.648540,23
fatigued,5,67.32812112609241,19.382401168333473,0.259,0.272,12.876,36.61,-0.546,-0.137,9.528,0.623,97.5,2025-07-16T19:04:08.652654,39
stressed,3,76.13292486044149,17.691462909641235,0.5,0.218,20.125,36.76,-0.126,0.025,9.751,0.978,96.3,2025-07-16T19:04:08.493971,32
fatigued,5,56.42418305828928,19.479576706929432,0.205,0.13,12.64,36.61,-0.076,0.056,9.828,0.473,97.2,2025-07-16T19:04:08.611851,7
fatigued,5,89.02859180698839,21.46221317902424,0.242,0.172,13.304,36.54,-0.05,0.089,9.876,0.46,97.4,2025-07-16T19:04:08.630539,11
fatigued,5,78.08937759836193,25.41302131404756,0.218,0.261,13.974,36.5,0.064,-0.188,9.863,0.999,97.2,2025-07-16T19:04:08.605164,27
stressed,3,107.21242996490953,20.23887204758823,0.724,0.24,18.503,36.88,0.436,-0.189,9.861,0.575,95.3,2025-07-16T19:04:08.458821,42
anxious,4,88.07180369239784,23.069372621595353,0.685,0.221,30.404,36.89,-0.159,-0.116,9.894,0.694,95.9,2025-07-16T19:04:08.519218,28
excited,2,101.95330213457544,30.300422406026502,0.474,0.351,18.228,37.06,0.301,0.157,9.916,0.685,95.9,2025-07-16T19:04:08.316672,21
calm,0,52.633555174758555,52.88681544719727,0.294,0.109,14.171,36.36,0.071,-0.077,9.813,0.645,97.3,2025-07-16T19:04:08.139972,28
